Event Category,City,Total Events
"Yes, I have heard of fake news",West Jordan,27
"Yes, I have heard of fake news",Lacey,27
"Yes, I have heard of fake news",Huntington,27
"Yes, I'm good at spotting fake news",Sacramento,27
"Yes, think I could tell if an article was telling the truth",Detroit,27
"No, I have not heard of fake news",Greenville,26
"No, I have not heard of fake news",San Antonio,26
"Yes, I have heard of fake news",Fort Wayne,26
"Yes, I have heard of fake news",Springfield,26
"Yes, I have heard of fake news",Gloversville,26
"Yes, I have heard of fake news",Meadville,26
"Yes, I have heard of fake news",Lakewood,26
"Yes, I'm good at spotting fake news",Erie,26
"Yes, I'm good at spotting fake news",Milwaukee,26
"Yes, think I could tell if an article was telling the truth",Denver,26
Ignore it,Waterloo,25
Ignore it,Johnstown,25
Ignore it,Virginia Beach,25
Ignore it,La Crosse,25
"No, I believe most news articles are false",Salt Lake City,25
"No, I have not heard of fake news",Pittsburgh,25
"No, I'm bad at spotting fake news",Waterloo,25
"No, I'm bad at spotting fake news",Kansas City,25
"Yes, I believe most news articles are true",San Francisco,25
"Yes, I have heard of fake news",Marion,25
"Yes, I have heard of fake news",Richmond,25
"Yes, I have heard of fake news",Worcester,25
"Yes, I have heard of fake news",Bellingham,25
"Yes, I'm good at spotting fake news",Grand Rapids,25
"Yes, I'm good at spotting fake news",Missoula,25
Call them out,Greenville,24
Ignore it,Raleigh,24
Ignore it,Reno,24
Ignore it,Buffalo,24
Ignore it,Springfield,24
"No, I have not heard of fake news",Anchorage,24
"No, I'm bad at spotting fake news",Orlando,24
Share it if you like it,San Francisco,24
"Yes, I believe most news articles are true",Houston,24
"Yes, I have heard of fake news",Mountain Home,24
"Yes, I have heard of fake news",Saint John,24
"Yes, I have heard of fake news",Saint Cloud,24
"Yes, I have heard of fake news",Saint Paul,24
"Yes, I have heard of fake news",Columbia,24
"Yes, I have heard of fake news",Lancaster,24
"Yes, I have heard of fake news",St. George,24
"Yes, I have heard of fake news",Green Bay,24
"Yes, I'm good at spotting fake news",Tucson,24
"Yes, I'm good at spotting fake news",Lincoln,24
"Yes, I'm good at spotting fake news",Springfield,24
"Yes, I'm good at spotting fake news",Knoxville,24
"Yes, think I could tell if an article was telling the truth",San Francisco,24
"Yes, think I could tell if an article was telling the truth",Omaha,24
Ignore it,Birmingham,23
Ignore it,New Orleans,23
Ignore it,Rochester,23
Ignore it,Erie,23
Ignore it,El Paso,23
"No, I believe most news articles are false",Minneapolis,23
"No, I have not heard of fake news",Indianapolis,23
"No, I'm bad at spotting fake news",Louisville,23
"No, I'm bad at spotting fake news",Plattsburgh,23
"Yes, I believe most news articles are true",Los Angeles,23
"Yes, I believe most news articles are true",Washington,23
"Yes, I have heard of fake news",Mesa,23
"Yes, I have heard of fake news",New Haven,23
"Yes, I have heard of fake news",Cedar Rapids,23
"Yes, I have heard of fake news",Hays,23
"Yes, I have heard of fake news",Mooresville,23
"Yes, I have heard of fake news",Fargo,23
"Yes, I have heard of fake news",Newark,23
"Yes, I have heard of fake news",Norwich,23
"Yes, I have heard of fake news",Johnson City,23
"Yes, I have heard of fake news",Appleton,23
"Yes, I have heard of fake news",Cheektowaga,23
"Yes, I'm good at spotting fake news",Tampa,23
Call them out,Cincinnati,22
Call them out,Madison,22
Ignore it,Elkhart,22
Ignore it,Oklahoma City,22
Ignore it,Charlottesville,22
"No, I don't I could tell if an article was telling the truth",Ann Arbor,22
"No, I have not heard of fake news",Charlotte,22
Share it if you like it,Detroit,22
"Yes, I have heard of fake news",Lompoc,22
"Yes, I have heard of fake news",Rockford,22
"Yes, I have heard of fake news",Lexington,22
"Yes, I have heard of fake news",Grand Island,22
"Yes, I have heard of fake news",Brunswick,22
"Yes, I have heard of fake news",Cleveland,22
"Yes, I have heard of fake news",Wichita Falls,22
"Yes, I have heard of fake news",Wenatchee,22
"Yes, I have heard of fake news",Welch,22
"Yes, I have heard of fake news",Queensbury,22
"Yes, I'm good at spotting fake news",Rochester,22
"Yes, I'm good at spotting fake news",Las Vegas,22
"Yes, I'm good at spotting fake news",Jamestown,22
"Yes, I'm good at spotting fake news",Rochester,22
"Yes, I'm good at spotting fake news",Ashburn,22
"Yes, I'm good at spotting fake news",Huntington,22
"Yes, think I could tell if an article was telling the truth",Minneapolis,22
Call them out,Louisville,21
Ignore it,Tucson,21
Ignore it,Sioux City,21
Ignore it,Lincoln,21
Ignore it,Ashburn,21
"No, I believe most news articles are false",Portland,21
"No, I don't I could tell if an article was telling the truth",Detroit,21
"No, I have not heard of fake news",Kansas City,21
Share it if you like it,Los Angeles,21
"Yes, I have heard of fake news",Wasilla,21
"Yes, I have heard of fake news",Peoria,21
"Yes, I have heard of fake news",Norfolk,21
"Yes, I have heard of fake news",Cherry Hill,21
"Yes, I have heard of fake news",Jersey City,21
"Yes, I have heard of fake news",Sidney,21
"Yes, I have heard of fake news",Salem,21
"Yes, I have heard of fake news",Eau Claire,21
"Yes, I have heard of fake news",Sparta,21
"Yes, I have heard of fake news",Fairmont,21
"Yes, I have heard of fake news",Milwaukie,21
"Yes, I'm good at spotting fake news",Birmingham,21
"Yes, I'm good at spotting fake news",Altoona,21
"Yes, I'm good at spotting fake news",Vancouver,21
Call them out,Kansas City,20
Ignore it,Sacramento,20
Ignore it,Santa Maria,20
Ignore it,Des Moines,20
Ignore it,Springfield,20
Ignore it,Hattiesburg,20
Ignore it,Mount Laurel,20
Ignore it,Albany,20
Ignore it,Rochester,20
Ignore it,Altoona,20
Ignore it,Lacey,20
Ignore it,Huntington,20
"No, I believe most news articles are false",St. Louis,20
"No, I believe most news articles are false",Nashville,20
"No, I don't I could tell if an article was telling the truth",Houston,20
"No, I have not heard of fake news",Madison,20
"No, I'm bad at spotting fake news",Boise,20
Share it if you like it,Washington,20
"Yes, I have heard of fake news",Jonesboro,20
"Yes, I have heard of fake news",Santa Ana,20
"Yes, I have heard of fake news",Loveland,20
"Yes, I have heard of fake news",DeKalb,20
"Yes, I have heard of fake news",Baltimore,20
"Yes, I have heard of fake news",Salisbury,20
"Yes, I have heard of fake news",Durham,20
"Yes, I have heard of fake news",Binghamton,20
"Yes, I have heard of fake news",Marion,20
"Yes, I have heard of fake news",Saint Marys,20
"Yes, I have heard of fake news",Kingsport,20
"Yes, I have heard of fake news",Corpus Christi,20
"Yes, I have heard of fake news",Federal Way,20
"Yes, I have heard of fake news",Princeton,20
"Yes, I'm good at spotting fake news",Duluth,20
"Yes, I'm good at spotting fake news",Wilmington,20
"Yes, I'm good at spotting fake news",Johnstown,20
"Yes, I'm good at spotting fake news",El Paso,20
"Yes, think I could tell if an article was telling the truth",Phoenix,20
Call them out,San Diego,19
Call them out,Plattsburgh,19
Call them out,Columbus,19
Ignore it,Midland,19
Ignore it,Saint Paul,19
Ignore it,Wilmington,19
Ignore it,Meadville,19
Ignore it,Knoxville,19
Ignore it,Vancouver,19
"No, I have not heard of fake news",Orlando,19
"No, I have not heard of fake news",Plattsburgh,19
"No, I'm bad at spotting fake news",Reno,19
"No, I'm bad at spotting fake news",Eugene,19
"Yes, I believe most news articles are true",Denver,19
"Yes, I have heard of fake news",Jasper,19
"Yes, I have heard of fake news",Hartford,19
"Yes, I have heard of fake news",Kalispell,19
"Yes, I have heard of fake news",Ashland,19
"Yes, I have heard of fake news",Broken Arrow,19
"Yes, I have heard of fake news",Medford,19
"Yes, I have heard of fake news",Greensburg,19
